[일반검색]				
조건항목	심볼	대상시간	검색전략	값
영업이익률 범위	E	일간	영업이익률 최근결산 기준 5% 이상 60% 이하	
영업이익 증가율 범위	F	일간	영업이익 증가율 최근결산 기준 10% 이상 500% 이하	
PER(주가수익비율) 범위	G	일간	PER 최근결산 기준 1배 이상 20배 이하	
시가총액 범위	P	일간	"[단일] 시가총액 5,000억원이상 99,999,999억원 이하"	
가격/이동평균 비교	a	일간	"[단일] 0봉전기준 1봉이내, 1~1회 발생, 종가기준 60 단순 이평 < 종가 상태가 1봉 지속"	
주권구분	b	일간	주권구분 우선주 (결과제외)	
외국인/기관/개인 순매매일수	c	일간	"0봉전기준 1봉이내, 1~1회 발생, 5일 중 3일 외국인 순매수 발생, 최소 매매수량 1,000주 이상"	
외국인/기관/개인 순매매일수	d	일간	"0봉전기준 1봉이내, 1~1회 발생, 5일 중 3일 기관 순매수 발생, 최소 매매수량 10,000주 이상"	
				
조합로직	E and F and G and I and J and K and L and M and N and O and P and Q and R and a and b and (c or d) 			
